Accession,Geo_Location
MT509512,India: Dahod
MT506199,USA: Michigan
MT506200,USA: Michigan
MT506201,USA: Michigan
MT506202,USA: Michigan
MT506203,USA: Michigan
MT506204,USA: Michigan
MT506205,USA: Michigan
MT506206,USA: Michigan
MT506207,USA: Michigan
MT506208,USA: Michigan
MT506209,USA: Michigan
MT506210,USA: Ohio
MT506211,USA: Michigan
MT506212,USA: Michigan
MT506213,USA: Michigan
MT506214,USA: Michigan
MT506215,USA: Michigan
MT506216,USA: Michigan
MT506217,USA: Michigan
MT506218,USA: Michigan
MT506219,USA: Michigan
MT506220,USA: Michigan
MT506221,USA: Michigan
MT506222,USA: Michigan
MT506223,USA: Michigan
MT506224,USA: Michigan
MT506225,USA: Michigan
MT506226,USA: Michigan
MT506227,USA: Michigan
MT506228,USA: Michigan
MT506229,USA: Michigan
MT506526,USA: Michigan
MT506527,USA: Michigan
MT506528,USA: Michigan
MT506529,USA: Michigan
MT506530,USA: Michigan
MT506531,USA: Michigan
MT506532,USA: Michigan
MT506533,USA: Michigan
MT506534,USA: Michigan
MT506535,USA: Michigan
MT506536,USA: Michigan
MT506537,USA: Michigan
MT506538,USA: Michigan
MT506539,USA: Michigan
MT506540,USA: Michigan
MT506541,USA: Michigan
MT506542,USA: Michigan
MT506543,USA: Michigan
MT506544,USA: Michigan
MT506545,USA: Michigan
MT506546,USA: Michigan
MT506547,USA: Michigan
MT506548,USA: Michigan
MT506549,USA: Michigan
MT506550,USA: Michigan
MT506551,USA: Michigan
MT506552,USA: Michigan
MT506553,USA: Michigan
MT506554,USA: Michigan
MT506555,USA: Michigan
MT506556,USA: Michigan
MT506557,USA: Michigan
MT506558,USA: Michigan
MT506559,USA: Michigan
MT506560,USA: Michigan
MT506561,USA: Michigan
MT506562,USA: Michigan
MT506563,USA: Michigan
MT506564,USA: Michigan
MT506565,USA: Michigan
MT506566,USA: Michigan
MT506567,USA: Michigan
MT506568,USA: Michigan
MT506569,USA: Michigan
MT506570,USA: Michigan
MT506571,USA: Michigan
MT506572,USA: Michigan
MT506573,USA: Michigan
MT506574,USA: Michigan
MT506575,USA: Michigan
MT506576,USA: Michigan
MT506577,USA: Michigan
MT506578,USA: Michigan
MT506579,USA: Michigan
MT506580,USA: Michigan
MT506581,USA: Michigan
MT506582,USA: Michigan
MT506583,USA: Michigan
MT506584,USA: Michigan
MT506585,USA: Michigan
MT506586,USA: Michigan
MT506587,USA: Michigan
MT506636,USA: Michigan
MT506637,USA: Michigan
MT506638,USA: Michigan
MT506639,USA: Michigan
MT506640,USA: Michigan
MT506641,USA: Michigan
MT506642,USA: Michigan
MT506643,USA: Michigan
MT506644,USA: Michigan
MT506645,USA: Michigan
MT506646,USA: Michigan
MT506647,USA: Michigan
MT506648,USA: Michigan
MT506649,USA: Michigan
MT506650,USA: Michigan
MT506651,USA: Michigan
MT506652,USA: Michigan
MT506653,USA: Michigan
MT506654,USA: Michigan
MT506655,USA: Michigan
MT506656,USA: Michigan
MT506657,USA: Michigan
MT506658,USA: Michigan
MT506659,USA: Michigan
MT506660,USA: Michigan
MT506661,USA: Michigan
MT506662,USA: Michigan
MT506663,USA: Michigan
MT506664,USA: Michigan
MT506665,USA: Michigan
MT506666,USA: Michigan
MT506667,USA: Michigan
